"","x","y","row","col","tipe","jenis","sistem"
"189",26.15,47.25,18,4,"karet","karet","dasar"
"190",26.15,49.95,19,4,"karet","karet","dasar"
"191",41.15,0,1,5,"karet","karet","dasar"
"192",41.15,2.7,2,5,"karet","karet","dasar"
"193",41.15,5.4,3,5,"karet","karet","dasar"
"194",41.15,8.1,4,5,"karet","karet","dasar"
"195",41.15,10.8,5,5,"karet","karet","dasar"
"196",41.15,13.5,6,5,"karet","karet","dasar"
"197",41.15,16.2,7,5,"karet","karet","dasar"
"198",41.15,18.9,8,5,"karet","karet","dasar"
"199",41.15,21.6,9,5,"karet","karet","dasar"
"200",41.15,24.3,10,5,"karet","karet","dasar"
"201",41.15,27,11,5,"karet","karet","dasar"
"202",41.15,29.7,12,5,"karet","karet","dasar"
"203",41.15,32.4,13,5,"karet","karet","dasar"
"204",41.15,35.1,14,5,"karet","karet","dasar"
"205",41.15,37.8,15,5,"karet","karet","dasar"
"206",41.15,40.5,16,5,"karet","karet","dasar"
"207",41.15,43.2,17,5,"karet","karet","dasar"
"208",41.15,45.9,18,5,"karet","karet","dasar"
"209",41.15,48.6,19,5,"karet","karet","dasar"
"210",43.45,1.35,1,6,"karet","karet","dasar"
"211",43.45,4.05,2,6,"karet","karet","dasar"
"212",43.45,6.75,3,6,"karet","karet","dasar"
"213",43.45,9.45,4,6,"karet","karet","dasar"
"214",43.45,12.15,5,6,"karet","karet","dasar"
"215",43.45,14.85,6,6,"karet","karet","dasar"
"216",43.45,17.55,7,6,"karet","karet","dasar"
"217",43.45,20.25,8,6,"karet","karet","dasar"
"218",43.45,22.95,9,6,"karet","karet","dasar"
"219",43.45,25.65,10,6,"karet","karet","dasar"
"220",43.45,28.35,11,6,"karet","karet","dasar"
"221",43.45,31.05,12,6,"karet","karet","dasar"
"222",43.45,33.75,13,6,"karet","karet","dasar"
"223",43.45,36.45,14,6,"karet","karet","dasar"
"224",43.45,39.15,15,6,"karet","karet","dasar"
"225",43.45,41.85,16,6,"karet","karet","dasar"
"226",43.45,44.55,17,6,"karet","karet","dasar"
"227",43.45,47.25,18,6,"karet","karet","dasar"
"228",43.45,49.95,19,6,"karet","karet","dasar"
"229",16.35,0,1,1,"cahaya","Durian hutan","dasar"
"230",16.35,5,2,1,"cahaya","Gaharu","dasar"
"231",16.35,10,3,1,"cahaya","Jengkol","dasar"
"232",16.35,15,4,1,"cahaya","Durian hutan","dasar"
"233",16.35,20,5,1,"cahaya","Gaharu","dasar"
"234",16.35,25,6,1,"cahaya","Jengkol","dasar"
"235",16.35,30,7,1,"cahaya","Durian hutan","dasar"
"236",16.35,35,8,1,"cahaya","Gaharu","dasar"
"237",16.35,40,9,1,"cahaya","Jengkol","dasar"
"238",16.35,45,10,1,"cahaya","Durian hutan","dasar"
"239",16.35,50,11,1,"cahaya","Gaharu","dasar"
"240",33.65,0,1,2,"cahaya","Jengkol","dasar"
"241",33.65,5,2,2,"cahaya","Durian hutan","dasar"
"242",33.65,10,3,2,"cahaya","Gaharu","dasar"
"243",33.65,15,4,2,"cahaya","Jengkol","dasar"
"244",33.65,20,5,2,"cahaya","Durian hutan","dasar"
"245",33.65,25,6,2,"cahaya","Gaharu","dasar"
"246",33.65,30,7,2,"cahaya","Jengkol","dasar"
"247",33.65,35,8,2,"cahaya","Durian hutan","dasar"
"248",33.65,40,9,2,"cahaya","Gaharu","dasar"
"249",33.65,45,10,2,"cahaya","Jengkol","dasar"
"250",33.65,50,11,2,"cahaya","Durian hutan","dasar"
"251",6.55,0,1,1,"karet","karet","kompleks"
"252",6.55,2.7,2,1,"karet","karet","kompleks"
"253",6.55,5.4,3,1,"karet","karet","kompleks"
"254",6.55,8.1,4,1,"karet","karet","kompleks"
"255",6.55,10.8,5,1,"karet","karet","kompleks"
"256",6.55,13.5,6,1,"karet","karet","kompleks"
"257",6.55,16.2,7,1,"karet","karet","kompleks"
"258",6.55,18.9,8,1,"karet","karet","kompleks"
"259",6.55,21.6,9,1,"karet","karet","kompleks"
"260",6.55,24.3,10,1,"karet","karet","kompleks"
"261",6.55,27,11,1,"karet","karet","kompleks"
"262",6.55,29.7,12,1,"karet","karet","kompleks"
"263",6.55,32.4,13,1,"karet","karet","kompleks"
"264",6.55,35.1,14,1,"karet","karet","kompleks"
"265",6.55,37.8,15,1,"karet","karet","kompleks"
"266",6.55,40.5,16,1,"karet","karet","kompleks"
"267",6.55,43.2,17,1,"karet","karet","kompleks"
"268",6.55,45.9,18,1,"karet","karet","kompleks"
"269",6.55,48.6,19,1,"karet","karet","kompleks"
"270",8.85,1.35,1,2,"karet","karet","kompleks"
"271",8.85,4.05,2,2,"karet","karet","kompleks"
