"","x","y","posisi","jalur","type","species","sistem"
"107",43.45,31.05,12,6,"Karet","Karet","dasar"
"108",43.45,33.75,13,6,"Karet","Karet","dasar"
"109",43.45,36.45,14,6,"Karet","Karet","dasar"
"110",43.45,39.15,15,6,"Karet","Karet","dasar"
"111",43.45,41.85,16,6,"Karet","Karet","dasar"
"112",43.45,44.55,17,6,"Karet","Karet","dasar"
"113",43.45,47.25,18,6,"Karet","Karet","dasar"
"114",43.45,49.95,19,6,"Karet","Karet","dasar"
"115",16.35,0,1,1,"Cahaya","Durian","dasar"
"116",16.35,5,2,1,"Cahaya","Durian","dasar"
"117",16.35,10,3,1,"Cahaya","Durian","dasar"
"118",16.35,15,4,1,"Cahaya","Durian","dasar"
"119",16.35,20,5,1,"Cahaya","Durian","dasar"
"120",16.35,25,6,1,"Cahaya","Durian","dasar"
"121",16.35,30,7,1,"Cahaya","Durian","dasar"
"122",16.35,35,8,1,"Cahaya","Durian","dasar"
"123",16.35,40,9,1,"Cahaya","Durian","dasar"
"124",16.35,45,10,1,"Cahaya","Durian","dasar"
"125",16.35,50,11,1,"Cahaya","Durian","dasar"
"126",33.65,0,1,2,"Cahaya","Petai","dasar"
"127",33.65,5,2,2,"Cahaya","Petai","dasar"
"128",33.65,10,3,2,"Cahaya","Petai","dasar"
"129",33.65,15,4,2,"Cahaya","Petai","dasar"
"130",33.65,20,5,2,"Cahaya","Petai","dasar"
"131",33.65,25,6,2,"Cahaya","Petai","dasar"
"132",33.65,30,7,2,"Cahaya","Petai","dasar"
"133",33.65,35,8,2,"Cahaya","Petai","dasar"
"134",33.65,40,9,2,"Cahaya","Petai","dasar"
"135",33.65,45,10,2,"Cahaya","Petai","dasar"
"136",33.65,50,11,2,"Cahaya","Petai","dasar"
